producto,old_price,current_price,url,stock
Architects of the West Kingdom: Age of Artisans,$35.00,$24.96,https://gamersguildaz.com/products/architects-of-the-west-kingdom-age-of-artisans-1,Sí
Architectura,$19.99,$19.96,https://gamersguildaz.com/products/architectura,Sí
Argent: The Consortium,$59.99,$47.99,https://gamersguildaz.com/products/argent-the-consortium,Sí
Ark Nova: Zoo Map Pack 1,$10.00,$8.00,https://gamersguildaz.com/products/ark-nova-zoo-map-pack-1,Sí
Arkeis,$119.99,$101.99,https://gamersguildaz.com/products/arkeis,Sí
Arkeis: The Jewel of the Cult Expansion (Pre-Order),$21.99,$19.73,https://gamersguildaz.com/products/arkeis-the-jewel-of-the-cult-expansion-pre-order,Sí
Arkeis: The Threat Beneath,$34.99,$29.92,https://gamersguildaz.com/products/arkeis-the-threat-beneath,Sí
Arkeis: Thus the Sphinx Cometh Expansion,$14.99,$12.75,https://gamersguildaz.com/products/arkeis-thus-the-sphinx-cometh-expansion,Sí
Arkham Horror (Third Edition),$79.99,$63.99,https://gamersguildaz.com/products/arkham-horror-third-edition-fantasy-flight-games,Sí
Arkham Horror The Card Game (Revised),$59.95,$47.96,https://gamersguildaz.com/products/arkham-horror-lcg-revised-core-set,Sí
Arkham Horror The Card Game: Edge of the Earth Campaign Expansion,$69.99,$62.87,https://gamersguildaz.com/products/arkham-horror-tcg-at-the-edge-of-the-earth-campaign-expansion,Sí
Arkham Horror The Card Game: Edge of the Earth Investigator Expansion,,$40.92,https://gamersguildaz.com/products/copy-of-world-of-warcraft-wrath-of-the-lich-king-a-pandemic-system-board-game,Sí
Arkham Horror The Card Game: Investigator Starter Deck - Harvey Walters,$16.99,$14.66,https://gamersguildaz.com/products/arkham-horror-lcg-harvey-walters-starter-deck,Sí
Arkham Horror The Card Game: Investigator Starter Deck - Jacqueline Fine,$16.99,$13.96,https://gamersguildaz.com/products/arkham-horror-lcg-jacqueline-fine-starter-deck,Sí
Arkham Horror The Card Game: Investigator Starter Deck - Nathaniel Cho,$16.99,$15.92,https://gamersguildaz.com/products/nathaniel-cho-starter-deck,Sí
Arkham Horror The Card Game: Investigator Starter Deck - Stella Clark,$16.99,$13.96,https://gamersguildaz.com/products/arkham-horror-lcg-stella-clark-starter-deck,Sí
Arkham Horror The Card Game: Investigator Starter Deck - Winifred Habbamock,$16.99,$16.28,https://gamersguildaz.com/products/arkham-horror-lcg-winifred-habbamock,Sí
